City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,79.95,overcast clouds,-0.6,73.0833,Scoop Guest House
1,Sinnamary,GF,79.43,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
7,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Monywa,MM,80.42,overcast clouds,22.1167,95.1333,Monywa Hotel
16,Salalah,OM,76.12,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
19,Amarante Do Maranhao,BR,79.56,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
27,Bethel,US,76.08,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
33,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
38,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
39,Palmer,US,76.32,light rain,42.1584,-72.3287,Wedgewood Motel
40,Pallasovka,RU,81.03,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
45,Jamestown,US,78.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Hilo,US,80.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Nabire,ID,78.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
56,Sao Filipe,CV,78.94,scattered clouds,14.8961,-24.4956,Hotel Xaguate
58,Oranjestad,AW,81.68,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
62,Batagay,RU,77.77,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
64,Ameca,MX,80.38,broken clouds,20.55,-104.0333,Hotel CATALINA
65,Independence,US,86.47,scattered clouds,39.0911,-94.4155,Higher Ground Hotel
66,Hilton Head Island,US,82.98,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
67,Dagana,MR,81.88,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
75,Nishihara,JP,82.06,mist,26.1842,127.7558,Minshuku Agaihama
82,Butaritari,KI,83.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
83,Wenatchee,US,77.41,broken clouds,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
86,Aquiraz,BR,80.19,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
89,Carutapera,BR,75.22,clear sky,-1.195,-46.02,Lidera
92,Cabacao,PH,82.99,overcast clouds,13.3356,120.6588,La Preciosa Hijas Farm Resort
93,Itoman,JP,82.78,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
94,Fortuna,US,87.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
107,Galle,LK,77.76,overcast clouds,6.0367,80.217,Amangalla
109,Malpe,IN,76.68,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
115,Banda Aceh,ID,79.54,broken clouds,5.5577,95.3222,Sulthan Hotel International
131,Luang Prabang,LA,77.76,overcast clouds,19.8856,102.1347,Villa Oasis
134,Shenjiamen,CN,80.24,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
138,Lincoln,US,88.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
140,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
142,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
143,Artyom,AZ,82.54,clear sky,40.4723,50.333,Merdan Respect
149,Jackson,US,89.74,clear sky,42.4165,-122.8345,Agate Village Apartments
151,Salinopolis,BR,79.54,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
152,Khash,IR,77.41,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
159,Morant Bay,JM,83.66,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
161,Hasaki,JP,88.2,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
170,Yoshida,JP,84.16,light rain,37.6833,138.8833,山本館
172,Intipuca,SV,85.89,broken clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
173,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
174,Lorengau,PG,83.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Mayo,US,84.9,clear sky,38.8876,-76.5119,Resorts Resource Group International
182,Tezu,IN,76.96,overcast clouds,27.9167,96.1667,Circuit House
183,Princeton,US,86.02,clear sky,25.5384,-80.4089,American Best Inn
189,Ibra,OM,86.92,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
191,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
192,Hami,CN,80.08,overcast clouds,42.8,93.45,Laoyutang Resort
193,Puerto Penasco,MX,87.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
194,Kalmunai,LK,77.94,overcast clouds,7.4167,81.8167,VS Villa
208,Dwarka,IN,80.73,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
209,Bontang,ID,77.95,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
210,Houma,US,89.6,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
214,Santa Cruz,BO,82.96,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
217,Portel,BR,79.07,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
220,Guinticgan,PH,79.93,moderate rain,11.5641,123.1236,Jeanette Resort Carles Iloilo B&B
222,Akyab,MM,80.28,overcast clouds,20.15,92.9,Hotel Memory
224,Itarema,BR,79.38,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
225,Bastia,FR,76.3,clear sky,42.6667,9.3333,Hotel Santa Maria
234,Naze,JP,80.19,clear sky,28.3667,129.4833,Amami Port Tower Hotel
235,Isla Mujeres,MX,86.05,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
236,Nautla,MX,85.46,few clouds,20.2167,-96.7833,Casa Blanca
240,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
246,Taft,IR,76.51,few clouds,31.7471,54.2088,بوم گردی حاجی زینل تفت
251,Makakilo City,US,84.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
255,Porto Novo,BJ,75.31,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
257,Lat Yao,TH,80.29,overcast clouds,15.751,99.7893,หจก. ลาดยาวการเกษตร
258,Hudson Bay,CA,75.45,scattered clouds,52.85,-102.3842,Norwood Motel LTD
259,Lompoc,US,81.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
261,Robertsport,LR,78.75,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
264,Khuzdar,PK,77.23,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
267,Kavaratti,IN,79.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
268,Kulhudhuffushi,MV,82.2,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
269,Paka,MY,78.1,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
273,Bud,US,84.18,broken clouds,39.447,-86.1758,Ted McQuinn Trust
274,Westport,US,76.15,moderate rain,41.1415,-73.3579,The Westport Inn
278,Kokopo,PG,82.85,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
279,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
281,Hamilton,US,86.09,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
282,Waddan,LY,81.37,clear sky,29.1614,16.139,محل الشريف محمد العايب
284,Namatanai,PG,83.64,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
287,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
290,Georgetown,MY,81.9,light rain,5.4112,100.3354,Cititel Penang
297,Bam,IR,85.3,clear sky,29.106,58.357,Bam Tourist Hotel
298,Acarau,BR,79.39,few clouds,-2.8856,-40.12,castelo pizzaria
300,Shingu,JP,80.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
301,Palu,ID,80.15,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
305,Zhirnovsk,RU,81.77,overcast clouds,50.9845,44.7735,Gostinitsa Zhirnovsk
308,Sioux Lookout,CA,77.52,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
314,Manavgat,TR,84.61,clear sky,36.7867,31.4431,River Boutique Hotel
317,Kapan,AM,76.59,scattered clouds,39.2075,46.4058,Grand House
325,Nagato,JP,75.65,light rain,34.3833,131.2,いそう庵
329,Sibolga,ID,76.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
332,Iralaya,HN,80.22,overcast clouds,15.0,-83.2333,Iglesia morava renovada
333,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
343,Gizo,SB,82.44,scattered clouds,-8.103,156.8419,Imagination Island
344,Sabang,ID,82.49,moderate rain,5.8933,95.3214,Hotel Citra
345,Miri,MY,78.44,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
346,Hambantota,LK,78.4,overcast clouds,6.1241,81.1185,Bungalow 63
351,Tura,IN,75.0,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
