City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,79.95,76,98,4.59,overcast clouds
1,Sinnamary,GF,5.3833,-52.95,79.43,83,84,12.01,broken clouds
2,Thompson,CA,55.7435,-97.8558,69.96,68,75,8.05,broken clouds
3,Hobart,AU,-42.8794,147.3294,53.26,72,40,1.99,scattered clouds
4,Wamba,NG,8.9333,8.6,70.59,98,89,3.0,light rain
5,Egvekinot,RU,66.3167,-179.1667,48.97,52,77,14.07,broken clouds
6,Essen,DE,51.45,7.0167,59.65,86,52,1.99,broken clouds
7,Kapaa,US,22.0752,-159.319,84.18,68,47,4.0,scattered clouds
8,Torbay,CA,47.6666,-52.7314,55.27,92,90,14.97,light intensity shower rain
9,Plettenberg Bay,ZA,-34.0527,23.3716,56.61,60,100,8.34,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,40.66,70,40,3.44,scattered clouds
11,Monywa,MM,22.1167,95.1333,80.42,82,100,7.76,overcast clouds
12,Nanortalik,GL,60.1432,-45.2371,42.93,92,36,12.5,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,42.94,71,98,22.41,overcast clouds
14,Kutina,HR,45.475,16.7819,69.78,74,72,10.56,broken clouds
15,Tirano,IT,46.2154,10.1679,66.58,83,26,4.32,scattered clouds
16,Salalah,OM,17.0151,54.0924,76.12,91,91,6.11,overcast clouds
17,Albany,US,42.6001,-73.9662,78.76,73,22,5.41,few clouds
18,Berezovyy,RU,51.6667,135.7,51.21,97,100,2.37,overcast clouds
19,Amarante Do Maranhao,BR,-5.5667,-46.7422,79.56,39,35,3.0,scattered clouds
20,Esperance,AU,-33.8667,121.9,61.32,74,1,20.54,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,70.56,88,43,5.99,scattered clouds
22,Geraldton,AU,-28.7667,114.6,61.21,94,90,10.36,overcast clouds
23,Karratha,AU,-20.7377,116.8463,69.96,49,28,6.64,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,52.9,79,100,14.32,moderate rain
25,Parthenay,FR,46.6667,-0.4167,56.95,89,99,6.08,overcast clouds
26,Nova Vicosa,BR,-17.8919,-39.3719,68.92,83,4,9.24,clear sky
27,Bethel,US,41.3712,-73.414,76.08,82,93,3.8,overcast clouds
28,Lebu,CL,-37.6167,-73.65,44.29,83,5,4.7,clear sky
29,Caravelas,BR,-17.7125,-39.2481,68.13,84,0,5.75,clear sky
30,Bantry,IE,51.6833,-9.45,56.68,93,33,4.7,scattered clouds
31,Saskylakh,RU,71.9167,114.0833,60.62,60,100,6.31,overcast clouds
32,Nikolskoye,RU,59.7035,30.7861,63.01,97,99,4.92,overcast clouds
33,Kahului,US,20.8947,-156.47,85.96,68,13,8.5,few clouds
34,Adrar,MR,20.5022,-10.0711,86.95,20,9,10.8,clear sky
