City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2021-08-04 09:15:42,-17.7125,-39.2481,66.52,91,97,4.72
1,Victoria,HK,2021-08-04 09:15:42,22.2855,114.1577,86.38,88,100,3.0
2,Hadejia,NG,2021-08-04 09:15:43,12.4498,10.0444,84.69,58,89,6.49
3,Tuktoyaktuk,CA,2021-08-04 09:15:43,69.4541,-133.0374,43.38,74,100,8.16
4,Bernalda,IT,2021-08-04 09:15:43,40.4128,16.692,95.68,46,0,6.91
5,Burnie,AU,2021-08-04 09:15:44,-41.0667,145.9167,51.4,72,91,14.65
6,Sitka,US,2021-08-04 09:15:44,57.0531,-135.33,60.69,82,90,4.61
7,Sumbe,AO,2021-08-04 09:15:45,-11.2061,13.8437,75.43,70,77,3.13
8,Flagstaff,US,2021-08-04 09:15:45,35.1981,-111.6513,71.26,31,0,1.01
9,Kapaa,US,2021-08-04 09:15:46,22.0752,-159.319,79.12,77,40,5.01
10,Albany,US,2021-08-04 09:15:09,42.6001,-73.9662,57.54,93,100,2.51
11,Mataura,NZ,2021-08-04 09:15:46,-46.1927,168.8643,37.47,92,100,2.59
12,Jamestown,US,2021-08-04 09:12:56,42.097,-79.2353,57.85,95,75,1.01
13,Elizabeth City,US,2021-08-04 09:15:47,36.2946,-76.2511,72.01,97,90,1.01
14,Moindou,NC,2021-08-04 09:15:47,-21.6924,165.677,64.35,71,20,3.83
15,Cozumel,MX,2021-08-04 09:12:04,20.5083,-86.9458,82.38,80,8,9.22
16,Chuy,UY,2021-08-04 09:15:48,-33.6971,-53.4616,45.5,93,52,0.67
17,Khatanga,RU,2021-08-04 09:15:48,71.9667,102.5,80.55,31,80,12.46
18,Itarema,BR,2021-08-04 09:15:48,-2.9248,-39.9167,73.69,88,44,9.84
19,Punta Arenas,CL,2021-08-04 09:15:31,-53.15,-70.9167,44.71,61,75,17.27
20,Samarai,PG,2021-08-04 09:15:49,-10.6167,150.6667,78.28,83,77,12.66
21,Bluff,NZ,2021-08-04 09:15:50,-46.6,168.3333,37.8,75,99,3.27
22,Kromy,RU,2021-08-04 09:15:50,52.6876,35.7667,71.76,50,27,7.92
23,Hualmay,PE,2021-08-04 09:15:50,-11.0964,-77.6139,62.67,87,58,6.67
24,Kaitangata,NZ,2021-08-04 09:15:51,-46.2817,169.8464,46.92,70,99,5.88
25,Cape Town,ZA,2021-08-04 09:15:31,-33.9258,18.4232,61.11,76,0,1.99
26,Port Victoria,KE,2021-08-04 09:15:51,0.0939,33.9756,77.27,51,55,4.97
27,Axim,GH,2021-08-04 09:15:52,4.8699,-2.2405,79.79,77,57,8.97
28,Busselton,AU,2021-08-04 09:15:52,-33.65,115.3333,59.09,71,32,6.11
29,Tasiilaq,GL,2021-08-04 09:15:53,65.6145,-37.6368,39.36,81,77,1.3
30,Gualaco,HN,2021-08-04 09:15:53,15.05,-86.05,65.7,98,100,0.65
31,Saint-Philippe,RE,2021-08-04 09:15:53,-21.3585,55.7679,72.99,81,97,16.62
32,Bredasdorp,ZA,2021-08-04 09:15:53,-34.5322,20.0403,56.52,82,100,2.3
